Id,Date,Tweets,Location,Retweets,Favorite
1423114537239203840,2021-08-05 02:52:00,RT @BreeNewsome: Reminder that the original ask was to just provide conditions that would make it possible for ppl to shelter in place for…,In the forest by a lake,11,0
1423114534110236676,2021-08-05 02:51:59,"@LandonCraigie @FlowerandFist @jimdtweet @keithamccluskey @GlennCarr6 @EricWil06256732 @rln_nelson @JohnDublin10 @OscarsWild1 @GeminiiAussie @ClimatePoet @robhon_ @RushhourP @WayneAllanH @ejwwest @priscian @Canadianworker2 @Kenneth72712993 @MedBennett @BarbaraGirouard @OnTheRo37386528 @BridgetHolmstro @Narvuntien @SniemN @BubbasRanch @revetje @Fiddlers__Green @spock246 @IanDJbrown2 @Tcaddy5 @chimera414 @dizzle29606338 @FillmoreWhite @TheDisproof @AristotleMrs @IngersolRobert @HalBrow68884227 @dan613 @RobMeekel @robinlarder @GuyGadboisGuyG1 @caerbannog666 @BradSchrag @MartinJBern @jgorman2424 @Pat88181680 @TaroIstok @MikeDel21893959 @rmack2x @KimmoTorikka An EV cargo truck rated to carry 44,000lbs requires 40,000lbs of batteries to make a 900 mile delivery.

40,000 lbs of cargo, needs 10 EV cargo trucks.

A 5000 mile range passenger plane will never get off the ground.

¯\_(ツ)_/¯","Yukon, Canada",0,0
1423114507367243776,2021-08-05 02:51:53,"We are in discussion with some large household names of groups that are in the EV space and quite large groups in the energy storage space whether it’s home batteries, large batteries for buildings and grid applications 
@magnisenergytec  $MNS

https://t.co/afm7fk8Xmo","Central Coast, New South Wales",0,0
1423114454787674113,2021-08-05 02:51:40,"@ROrnelas24 @jaimestaples @LandonTice I'd love to see a section where @jaimestaples limits himself to 3 or 4 tabling, I love your in game talking points, wonder sometimes if you weren't 6-9 tabling how you might fare. +ev on thev8th table I'm sure just curious",,0,0
1423114451578851328,2021-08-05 02:51:40,"RT @EuropeanLithium: High #EV uptake has led #UK experts to warn of a looming #lithium deficit, highlighting the need for #carmakers to sec…","Bondi Beach, Sydney",5,0
1423114423816830980,2021-08-05 02:51:33,"RT @BravesInPlay: Jorge Soler - Home Run vs J.A. Happ
#Braves vs #Cardinals

EV:   107.8 (MPH)
LA:   24 (Deg.)
Dist: 432 (ft.)
xBA:  1.000…","Kennesaw, GA",3,0
1423114410818682880,2021-08-05 02:51:30,RT @ELMSolutions: #ELMS is bringing on experienced manufacturing talent at our plant as we approach start of production. Proudly making Mis…,"South Bend, IN",4,0
1423114406787837956,2021-08-05 02:51:29,"Automakers to join Biden for rollout of emissions cuts, EV targets https://t.co/SpOA1JZApv","Perth, Western Australia",0,0
1423114362970120204,2021-08-05 02:51:18,"Deutsche Post, Or DHL, Is Getting A Fleet Of Electric Airplanes - Deutsche Post, otherwise known as DHL, wants to be the first courier service with its own airborne EV fleet. The company has ordered 12 all-electric planes from American EV aircraft company, Eviation. The model ...",,0,0
1423114361082548226,2021-08-05 02:51:18,"You know what's a good time? When the wrong script is loaded on the prompter &amp; you just shoot from the hip.  
&amp; I actually said ""Sorry if I offended you fisherman, but facts don't care""","Fresno, CA",0,0
1423114350227705857,2021-08-05 02:51:15,RT @DigaHernandez: Powerful truth on entering the presence of God by the Holy Spirit. https://t.co/vH7BDXIuzT,within HIS arms,1,0
1423114283764772865,2021-08-05 02:51:00,"After 3rd Quarter
Ind 5  - Ger 3
#IndvsGer
#Tokyo2020",India,1,1
1423114252647374852,2021-08-05 02:50:52,"Xmen #2 review
it was something fun, something for the summertime. Jean was great as a mentor and a leader and it was nice to see her reconnect with old friends (Lorna) and form newer bonds (Shiro and Ev).
It was also great seeing Shiro's motivation for the Xmen #XSpoilers",Nigeria/UK .black,0,3
1423114148230033412,2021-08-05 02:50:27,RT @ElectrekCo: Tesla opening Supercharger network will enable access to new $7.5 billion EV funding in US https://t.co/k1uoVU1FLD by @fred…,,104,0
1423114137010331649,2021-08-05 02:50:25,U.S. automakers to say they aspire to up to 50% of EV sales by 2030 -sources https://t.co/q4w1e3cFlt,"Washington, DC",0,1
1423114106094112774,2021-08-05 02:50:17,"@vittusa66879330 @TLHBrianLee @Ginnie306 @POTUS Fine, V8 tinkering on the weekends.  But for the other 90% of the time, EV.  😎",,0,0
